iter	Passed	Remaining
482	3094	3312
483	3100	3305
484	3105	3298
485	3111	3290
486	3116	3283
487	3123	3276
488	3128	3269
489	3134	3262
490	3140	3255
491	3146	3248
492	3152	3242
493	3158	3234
494	3163	3227
495	3169	3220
496	3175	3213
497	3180	3206
498	3187	3199
499	3192	3192
500	3198	3185
501	3205	3179
502	3211	3172
503	3217	3166
504	3224	3160
505	3229	3153
506	3236	3146
507	3242	3140
508	3248	3133
509	3254	3126
510	3260	3120
511	3267	3114
512	3273	3107
513	3278	3099
514	3284	3093
515	3290	3086
516	3296	3079
517	3302	3072
518	3308	3066
519	3314	3059
520	3320	3052
521	3325	3045
522	3332	3038
523	3337	3032
524	3343	3025
525	3350	3019
526	3356	3012
527	3363	3006
528	3369	3000
529	3375	2993
530	3381	2986
531	3387	2980
532	3393	2973
533	3399	2966
534	3405	2960
535	3412	2953
536	3418	2947
537	3423	2940
538	3431	2934
539	3437	2928
540	3444	2922
541	3450	2915
542	3457	2909
543	3464	2903
544	3470	2897
545	3477	2891
546	3483	2885
547	3490	2879
548	3497	2872
549	3503	2866
550	3510	2860
551	3517	2854
552	3523	2848
553	3530	2841
554	3536	2835
555	3543	2829
556	3549	2823
557	3556	2816
558	3562	2810
559	3569	2804
560	3576	2798
561	3582	2792
562	3590	2786
563	3596	2780
564	3602	2773
565	3610	2768
566	3616	2762
567	3624	2756
568	3631	2750
569	3638	2744
570	3644	2738
571	3651	2732
572	3658	2726
573	3665	2720
574	3672	2714
575	3679	2708
576	3686	2702
577	3693	2696
578	3700	2690
579	3706	2684
580	3713	2677
581	3719	2671
582	3726	2665
583	3733	2659
584	3740	2653
585	3747	2647
586	3756	2643
587	3763	2637
588	3771	2631
589	3779	2626
590	3786	2620
591	3793	2614
592	3800	2608
593	3807	2602
594	3815	2596
595	3821	2590
596	3828	2584
597	3835	2578
598	3841	2571
599	3848	2565
600	3854	2559
601	3861	2552
602	3868	2546
603	3874	2540
604	3882	2534
605	3889	2528
606	3896	2522
607	3903	2516
608	3909	2510
609	3916	2504
610	3923	2497
611	3930	2491
612	3936	2485
613	3943	2479
614	3950	2473
615	3957	2466
616	3964	2460
617	3970	2454
618	3977	2448
619	3984	2442
620	3990	2435
621	3997	2429
622	4003	2422
623	4011	2417
624	4018	2411
625	4025	2405
626	4033	2399
627	4041	2393
628	4048	2387
629	4054	2381
630	4062	2375
631	4069	2369
632	4077	2363
633	4084	2357
634	4092	2352
635	4099	2346
636	4107	2340
637	4114	2334
638	4122	2328
639	4129	2322
640	4137	2317
641	4144	2311
642	4152	2305
643	4159	2299
644	4166	2292
645	4173	2287
646	4180	2280
647	4188	2275
648	4195	2269
649	4202	2263
650	4209	2256
651	4217	2250
652	4224	2244
653	4232	2239
654	4240	2233
655	4246	2227
656	4254	2220
657	4260	2214
658	4268	2208
659	4275	2202
660	4282	2196
661	4289	2190
662	4296	2184
663	4304	2178
664	4311	2171
665	4318	2165
666	4325	2159
667	4332	2153
668	4339	2147
669	4346	2141
670	4353	2134
671	4360	2128
672	4368	2122
673	4375	2116
674	4382	2110
675	4389	2103
676	4396	2097
677	4403	2091
678	4410	2085
679	4418	2079
680	4424	2072
681	4432	2066
682	4439	2060
683	4447	2054
684	4454	2048
685	4461	2042
686	4468	2035
687	4475	2029
688	4482	2023
689	4489	2016
690	4496	2010
691	4503	2004
692	4510	1998
693	4517	1992
694	4524	1985
695	4531	1979
696	4538	1972
697	4545	1966
698	4552	1960
699	4559	1953
700	4566	1947
701	4573	1941
702	4580	1935
703	4587	1928
704	4594	1922
705	4601	1916
706	4609	1910
707	4615	1903
708	4622	1897
709	4629	1890
710	4636	1884
711	4646	1879
712	4653	1873
713	4660	1866
714	4667	1860
715	4674	1854
716	4681	1847
717	4688	1841
718	4695	1835
719	4703	1829
720	4710	1822
721	4717	1816
722	4725	1810
723	4732	1804
724	4740	1797
725	4746	1791
726	4754	1785
727	4760	1778
728	4767	1772
729	4774	1765
730	4781	1759
731	4788	1753
732	4795	1746
733	4802	1740
734	4809	1734
735	4817	1728
736	4824	1721
737	4832	1715
738	4839	1709
739	4847	1703
740	4857	1697
741	4864	1691
742	4871	1685
743	4879	1679
744	4887	1672
745	4894	1666
746	4903	1660
747	4911	1654
748	4921	1649
749	4928	1642
750	4971	1648
751	4986	1644
752	5007	1642
753	5015	1636
754	5029	1632
755	5040	1626
756	5047	1620
757	5055	1613
758	5063	1607
759	5070	1601
760	5077	1594
761	5084	1588
762	5091	1581
763	5099	1575
764	5107	1568
765	5114	1562
766	5121	1555
767	5128	1549
768	5135	1542
769	5143	1536
770	5149	1529
771	5157	1523
772	5164	1516
773	5171	1509
774	5178	1503
775	5184	1496
776	5191	1490
777	5198	1483
778	5205	1476
779	5212	1470
780	5219	1463
781	5226	1457
782	5233	1450
783	5241	1444
784	5248	1437
785	5256	1431
786	5262	1424
787	5269	1417
788	5276	1411
789	5283	1404
790	5290	1397
791	5297	1391
792	5304	1384
793	5311	1377
794	5318	1371
795	5325	1364
796	5333	1358
797	5340	1351
798	5346	1345
799	5354	1338
800	5360	1331
801	5367	1325
802	5374	1318
803	5381	1312
804	5389	1305
805	5396	1298
806	5403	1292
807	5410	1285
808	5418	1279
809	5425	1272
810	5433	1266
811	5440	1259
812	5447	1252
813	5454	1246
814	5462	1239
815	5468	1233
816	5476	1226
817	5483	1220
818	5490	1213
819	5498	1207
820	5505	1200
821	5514	1194
822	5520	1187
823	5528	1180
824	5535	1174
825	5542	1167
826	5549	1160
827	5557	1154
828	5564	1147
829	5571	1141
830	5578	1134
831	5585	1127
832	5592	1121
833	5599	1114
834	5605	1107
835	5612	1101
836	5618	1094
837	5626	1087
838	5633	1080
839	5640	1074
840	5647	1067
841	5654	1061
842	5661	1054
843	5668	1047
844	5675	1041
845	5682	1034
846	5689	1027
847	5696	1020
848	5703	1014
849	5710	1007
850	5717	1001
851	5724	994
852	5731	987
853	5739	981
854	5745	974
855	5753	967
856	5760	961
857	5766	954
858	5773	947
859	5780	941
860	5787	934
861	5794	927
862	5800	920
863	5807	914
864	5813	907
865	5820	900
866	5827	893
867	5835	887
868	5841	880
869	5849	874
870	5857	867
871	5864	860
872	5872	854
873	5880	847
874	5888	841
875	5896	834
876	5903	827
877	5910	821
878	5917	814
879	5925	807
880	5933	801
881	5939	794
882	5946	787
883	5953	781
884	5960	774
885	5967	767
886	5974	761
887	5982	754
888	5989	747
889	5997	741
890	6004	734
891	6012	727
892	6019	721
893	6027	714
894	6034	707
895	6041	701
896	6048	694
897	6055	687
898	6062	681
899	6069	674
900	6077	667
901	6084	661
902	6091	654
903	6098	647
904	6105	640
905	6113	634
906	6119	627
907	6127	620
908	6134	614
909	6141	607
910	6147	600
911	6155	593
912	6162	587
913	6168	580
914	6176	573
915	6183	567
916	6190	560
917	6196	553
918	6204	546
919	6211	540
920	6218	533
921	6226	526
922	6232	519
923	6239	513
924	6246	506
925	6253	499
926	6261	493
927	6268	486
928	6275	479
929	6282	472
930	6290	466
931	6297	459
932	6304	452
933	6311	446
934	6318	439
935	6325	432
936	6333	425
937	6340	419
938	6347	412
939	6354	405
940	6361	398
941	6368	392
942	6375	385
943	6382	378
944	6389	371
945	6396	365
946	6403	358
947	6409	351
948	6416	344
949	6423	338
950	6430	331
951	6437	324
952	6445	317
953	6452	311
954	6459	304
955	6468	297
956	6476	290
957	6483	284
958	6490	277
959	6497	270
960	6504	263
961	6511	257
962	6518	250
963	6526	243
964	6533	236
965	6540	230
966	6547	223
967	6554	216
968	6562	209
969	6568	203
970	6576	196
971	6582	189
972	6589	182
973	6596	176
974	6603	169
975	6609	162
976	6616	155
977	6623	148
978	6629	142
979	6636	135
980	6643	128
981	6650	121
982	6657	115
983	6664	108
984	6670	101
985	6678	94
986	6684	88
987	6692	81
988	6698	74
989	6706	67
990	6713	60
991	6720	54
992	6727	47
993	6734	40
994	6741	33
995	6747	27
996	6755	20
997	6762	13
998	6769	6
999	6776	0
